,0,1,2,3,4,5,6,7,8
0,LTB,S100A9,RPL13,CD74,CCL5,LST1,NKG7,FCER1A,PF4
1,RPS27A,S100A8,MALAT1,CD79A,NKG7,COTL1,GNLY,HLA-DQA1,GNG11
2,RPS3A,LYZ,RPS3A,HLA-DRA,B2M,FCER1G,GZMB,HLA-DPB1,SDPR
3,RPL13,TYROBP,RPS27A,CD79B,GZMA,AIF1,CTSW,HLA-DPA1,PPBP
4,GIMAP7,FTL,LTB,HLA-DPB1,CST7,FTH1,PRF1,HLA-DRB1,NRGN
5,GIMAP5,FCN1,LDLRAP1,HLA-DQA1,CTSW,SAT1,GZMA,CST3,GPX1
6,AQP3,S100A6,MAL,HLA-DRB1,GZMK,FTL,CST7,HLA-DRA,SPARC
7,MAL,CST3,MT-CYB,HLA-DPA1,LYAR,CTSS,FGFBP2,CD74,RGS18
8,FYB,LGALS2,ACAP1,TCL1A,GZMM,CST3,B2M,HLA-DMA,OAZ1
9,B2M,LGALS1,TRABD2A,LINC00926,MALAT1,OAZ1,CD247,GPX1,GP9
10,MALAT1,FTH1,GIMAP5,HLA-DMA,KLRG1,FCGR3A,SPON2,LYZ,HIST1H2AC
11,ACAP1,GPX1,AQP3,LTB,PRF1,S100A4,FCGR3A,H2AFY,CD9
12,SRSF5,S100A4,SELL,HLA-DMB,GZMH,NPC2,GZMM,CLEC10A,CCL5
13,SELL,AIF1,SCGB3A1,HVCN1,MT-CYB,TYROBP,CCL4,HLA-DMB,ACTB
14,ITM2A,OAZ1,GIMAP7,SNHG7,HOPX,ACTB,SRGN,FCGRT,ITGA2B
15,LDLRAP1,LST1,FYB,IRF8,APOBEC3G,LGALS1,HOPX,IL1B,AP001189.4
16,PPP1R2,CTSS,RP11-18H21.1,FCRLA,SAMD3,S100A6,GZMH,LGALS2,TUBB1
17,ARL6IP5,SAT1,SRSF5,LIMD2,CCL4,IFI30,CCL5,LGALS1,CLU
18,SRP9,FCER1G,CISH,HLA-DOB,RPS27A,HLA-DPA1,IGFBP7,FTH1,MPP1
19,GPR183,COTL1,RIC3,PKIG,GIMAP7,PYCARD,FCER1G,ALDH2,NCOA4
20,CORO1B,NPC2,C16orf54,SMIM14,CD247,HLA-DRB1,AKR1C3,SRGN,FERMT3
21,TRABD2A,MS4A6A,SNHG7,P2RX5,FGFBP2,SRGN,APOBEC3G,VAMP8,SAT1
22,TNFRSF4,PYCARD,ATP6V0E2,CD72,TIGIT,LYZ,PDIA3,FCER1G,TMEM40
23,CD247,LGALS3,DENND2D,RPL13,GZMB,ABI3,TYROBP,LST1,PTCRA
24,ILF3-AS1,TALDO1,ITM2A,SPIB,SH2D1A,FCN1,ACTB,PYCARD,TREML1
25,PASK,FCGRT,NOG,IGLL5,TMBIM6,HLA-DRA,PRSS23,AIF1,CA2
26,CD96,NCF2,MAGEH1,KIAA0125,C9orf142,S100A9,ZAP70,GSN,PGRMC1
27,STK17A,SRGN,MDS2,RPS3A,MT-CO1,HLA-DPB1,XCL1,PHACTR1,ODC1
28,SSBP1,HLA-DRA,FUS,BLNK,KLRB1,LGALS3,PSMB8,ACTB,SRGN
29,NDUFA12,CDA,DNAJA3,SWAP70,MT-CO2,FGL2,SAMD3,TYROBP,SEPT5
30,CRIP2,IFI30,CCDC66,CD19,STK17A,CD74,PLEKHF1,COTL1,ACRBP
31,FAM107B,ACTB,LYRM4,LAT2,ZAP70,CDA,HAVCR2,IFI30,F13A1
32,ATP5H,TNFSF13B,ZNF626,RPS27A,PRR5,MT-CO1,CCL3,SERPINF1,MMD
33,CCNG1,HLA-DRB1,ZCCHC11,SELL,ARL6IP5,FCGRT,GPR56,CNPY3,SNCA
34,EIF3D,ALDH2,BEX4,PRKCB,SNRPB,C5AR1,ABI3,RGS1,TALDO1
35,TNFRSF25,MT-CO1,TAF1D,ARHGAP24,GYG1,ARRB2,C5orf56,MS4A6A,DYNLL1
36,RNF139,LINC00936,CD247,C16orf74,PTGDR,BLVRA,C9orf142,RAB7A,LY6G6F
37,CISH,CD74,ARRDC3,PARP1,PDIA3,TNFSF13B,CAP1,TMEM219,CMTM5
38,IL16,FPR1,XXbac-BPG299F13.17,MZB1,S100A4,NCF2,PTGDR,TNFSF13B,GP1BA
39,SUCLG2,ASGR1,USP20,BTK,ACTB,TNFSF10,LYAR,ENHO,MYL9
40,REXO2,CNPY3,PASK,RNASEH2B,GNLY,TNFRSF1B,FCRL6,SAT2,RP11-367G6.3
41,IL27RA,SERPINB1,CARS,DRAM2,MT-ND5,BLOC1S1,ARPC4,C16orf13,PTGS1
42,NSA2,VAMP8,RBM48,PPP1R14A,TMED4,STX11,SERPINB1,ATP5C1,TPM1
43,SIVA1,FOLR3,STK17A,IGJ,FCRL6,OAS1,TMEM50A,PQBP1,MARCH2
44,PNRC1,ATP6V1F,PITPNA-AS1,NT5C,SRGN,FCGR2A,GIMAP7,RNF181,PARVB
